Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles
10000000,10000184,10000184,1472,83,142,356,17.86,152,0,298761961789,306888290617
20000000,20000340,20000340,1472,84,144,255,19.97,152,0,157143713821,165604491400
30000000,30000466,30000466,1472,111,155,360,10.39,153,0,109582600800,118491483337
40000000,40000573,40000573,1472,109,149,259,8.37,152,0,85286460900,94949559119
50000000,50000666,50000666,1472,90,143,833,23.43,144,0,71140479053,81013748983
60000000,59999800,60000399,1472,108,375,921,263.95,157,0,53007393910,71371608459
70000000,70000975,70000625,1472,396,644,963,122.10,644,0,39573139609,64646292598
80000000,80001116,80000316,1472,397,655,928,124.73,647,0,36405524335,59833489803
90000000,90000831,90000381,1472,409,648,922,121.94,652,0,33759803555,55908742504
100000000,100000624,100000124,1472,409,641,922,116.03,643,0,31579313400,52661919944
200000000,200004053,200000053,1472,459,653,890,99.02,648,0,21618157776,38640609965
300000000,300001179,299999679,1472,509,678,885,85.29,677,0,17550935933,33916863112
400000000,400007676,399999676,1472,552,701,888,71.62,696,0,14988777268,31513621259
500000000,500006897,499996897,1472,601,726,883,59.32,727,0,12962096744,30070352942
600000000,600003871,600003871,1472,639,743,903,45.52,743,0,11305650986,29109383333
700000000,700010957,699993457,1472,664,766,876,34.80,765,0,9864956503,28548525988
800000000,800005229,800001229,1472,719,784,894,21.79,784,0,8404539572,28045712093
900000000,900010450,900001450,1472,762,808,895,10.49,808,0,7077578292,27652946297
1000000000,956966052,999990918,1472,2727,2898,3096,88.39,2897,0,6223867265,27420200910

