Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306888351044,7200771461,2779296448,4421475013,3779573,2904954,2.35,0.91,1.44
System Total 20Mb/s,165604551493,7638687478,2944917447,4693770031,3857213,2912956,4.61,1.78,2.83
System Total 20Mb/s,118491547779,8110340467,3126782354,4983558113,4044771,3030448,6.84,2.64,4.21
System Total 40Mb/s,94949616359,8768408876,3393872474,5374536402,4370635,3296402,9.23,3.57,5.66
System Total 50Mb/s,81013808571,9068395727,3487429718,5580966009,4478328,3319190,11.19,4.3,6.89
System Total 60Mb/s,71371839411,17486301640,9937911954,7548389686,11832227,10652957,24.5,13.92,10.58
System Total 70Mb/s,64646350794,24468860504,15461232769,9007627735,17853273,16754276,37.85,23.92,13.93
System Total 80Mb/s,59833551228,22610550181,13983035877,8627514304,16371838,15380358,37.79,23.37,14.42
System Total 90Mb/s,55908803715,21609898913,13150409513,8459489400,15178925,14231032,38.65,23.52,15.13
System Total 100Mb/s,52661980393,20658834662,12346877373,8311957289,14162808,13269250,39.23,23.45,15.78
System Total 200Mb/s,38640673298,16669817694,8305948398,8363869296,9520215,8858023,43.14,21.5,21.65
System Total 300Mb/s,33916919959,16040704438,6783917891,9256786547,7795015,7207634,47.29,20.0,27.29
System Total 400Mb/s,31513680445,16220873824,5891890550,10328983274,6754554,6203185,51.47,18.7,32.78
System Total 500Mb/s,30070414595,16813941218,5284995634,11528945584,6048072,5518700,55.92,17.58,38.34
System Total 600Mb/s,29109444926,17512744051,4767834857,12744909194,5448028,4932607,60.16,16.38,43.78
System Total 700Mb/s,28548587283,18369029177,4301342730,14067686447,4934342,4424675,64.34,15.07,49.28
System Total 800Mb/s,28045768274,19323379764,3937073001,15386306763,4511795,4012039,68.9,14.04,54.86
System Total 900Mb/s,27653003441,20255605787,3543050672,16712555115,4063996,3565175,73.25,12.81,60.44
System Total 1000Mb/s,27420261020,20900340560,3367354320,17532986240,3837669,3339531,76.22,12.28,63.94

TEST 1: 10Mb/s
CORE 0 TOTAL,306888351044,7200771461,2779296448,4421475013,3779573,2904954,2.35,0.91,1.44
serial_driver,306888351044,22182,3603,18579,1,1,0.0,0.0,0.0
serial_virt_tx,306888351044,13681,5421,8260,2,2,0.0,0.0,0.0
ethernet_driver,306888351044,2384532423,1098341163,1286191260,1303041,868510,0.78,0.36,0.42
net_virt_tx,306888351044,1182220451,588554234,593666217,434083,434083,0.39,0.19,0.19
net_virt_rx,306888351044,1099205758,572719283,526486475,652365,435271,0.36,0.19,0.17
client0,306888351044,1521213766,242391452,1278822314,229627,229579,0.5,0.08,0.42
client0_net_copier,306888351044,916991050,241232572,675758478,434153,217107,0.3,0.08,0.22
client1,306888351044,27671503,10704197,16967306,11822,11822,0.01,0.0,0.01
client1_net_copier,306888351044,366006,104353,261653,93,47,0.0,0.0,0.0
timer_driver,306888351044,68534641,25240170,43294471,31565,25717,0.02,0.01,0.01

TEST 2: 20Mb/s
CORE 0 TOTAL,165604551493,7638687478,2944917447,4693770031,3857213,2912956,4.61,1.78,2.83
serial_driver,165604551493,22004,3255,18749,1,1,0.0,0.0,0.0
serial_virt_tx,165604551493,14288,6161,8127,2,2,0.0,0.0,0.0
ethernet_driver,165604551493,2543110937,1165703883,1377407054,1400200,916987,1.54,0.7,0.83
net_virt_tx,165604551493,1251234155,622633710,628600445,460252,460252,0.76,0.38,0.38
net_virt_rx,165604551493,1182002422,617592239,564410183,705266,471249,0.71,0.37,0.34
client0,165604551493,1614524880,254986527,1359538353,240119,240054,0.97,0.15,0.82
client0_net_copier,165604551493,983117084,259313870,723803214,459314,235477,0.59,0.16,0.44
client1,165604551493,20053758,6819794,13233964,6438,6438,0.01,0.0,0.01
client1_net_copier,165604551493,181818,53749,128069,40,20,0.0,0.0,0.0
timer_driver,165604551493,44426132,17804259,26621873,17079,13980,0.03,0.01,0.02

TEST 3: 20Mb/s
CORE 0 TOTAL,118491547779,8110340467,3126782354,4983558113,4044771,3030448,6.84,2.64,4.21
serial_driver,118491547779,22584,3391,19193,1,1,0.0,0.0,0.0
serial_virt_tx,118491547779,14353,6440,7913,2,2,0.0,0.0,0.0
ethernet_driver,118491547779,2703938237,1235686583,1468251654,1495937,968616,2.28,1.04,1.24
net_virt_tx,118491547779,1326320897,660961605,665359292,489913,489913,1.12,0.56,0.56
