recv=4389 rxcopy=10748 txcopy=34092 sendto=2916 
recv=4809 rxcopy=72790 txcopy=322539 sendto=12857 
recv=4829 rxcopy=73568 txcopy=326737 sendto=12959 
recv=4887 rxcopy=74180 txcopy=331216 sendto=14617 
recv=5640 rxcopy=76906 txcopy=320467 sendto=13059 
recv=5555 rxcopy=78973 txcopy=323559 sendto=12983 
recv=5320 rxcopy=75479 txcopy=320990 sendto=12825 
recv=5203 rxcopy=73748 txcopy=324189 sendto=12712 
recv=5208 rxcopy=74157 txcopy=329323 sendto=12683 
recv=5219 rxcopy=73884 txcopy=328799 sendto=12760 
recv=5175 rxcopy=73933 txcopy=328917 sendto=12751 
recv=5221 rxcopy=73632 txcopy=327683 sendto=12887 
recv=5203 rxcopy=73474 txcopy=327261 sendto=12884 
recv=5254 rxcopy=73138 txcopy=324417 sendto=14294 
recv=5245 rxcopy=73249 txcopy=324712 sendto=14292 
recv=5208 rxcopy=74206 txcopy=328856 sendto=13862 
recv=5250 rxcopy=73848 txcopy=326444 sendto=13496 
recv=5210 rxcopy=73105 txcopy=325999 sendto=13162 
recv=5169 rxcopy=73539 txcopy=328305 sendto=12877 
recv=5160 rxcopy=73858 txcopy=328608 sendto=12815 
recv=5173 rxcopy=74047 txcopy=330129 sendto=12873 
recv=5197 rxcopy=73924 txcopy=329419 sendto=12895 
recv=5174 rxcopy=73856 txcopy=328735 sendto=13687 
recv=5168 rxcopy=73776 txcopy=327582 sendto=14232 
recv=4923 rxcopy=66672 txcopy=291182 sendto=12108 
recv=4152 rxcopy=77027 txcopy=333323 sendto=11997 
recv=4203 rxcopy=77188 txcopy=333580 sendto=12074 
recv=4507 rxcopy=78985 txcopy=339248 sendto=13044 
recv=4456 rxcopy=79248 txcopy=339963 sendto=13089 
recv=4462 rxcopy=79611 txcopy=340769 sendto=13290 
recv=4485 rxcopy=79551 txcopy=340301 sendto=13140 
recv=4489 rxcopy=79575 txcopy=341065 sendto=13191 
recv=4434 rxcopy=79997 txcopy=342961 sendto=13343 
recv=4462 rxcopy=79607 txcopy=342733 sendto=13243 
recv=4382 rxcopy=79027 txcopy=342103 sendto=13069 
recv=4400 rxcopy=78745 txcopy=340599 sendto=12762 
recv=4500 rxcopy=78866 txcopy=340829 sendto=12943 
recv=4539 rxcopy=79265 txcopy=340712 sendto=13045 
recv=4542 rxcopy=79477 txcopy=340732 sendto=12999 
recv=4537 rxcopy=79538 txcopy=340595 sendto=13075 
recv=4498 rxcopy=79719 txcopy=341350 sendto=13069 
recv=4500 rxcopy=79773 txcopy=341651 sendto=13010 
recv=4456 rxcopy=79592 txcopy=341519 sendto=13041 
recv=4487 rxcopy=79305 txcopy=341688 sendto=13106 
recv=4522 rxcopy=79409 txcopy=343023 sendto=13047 
recv=4488 rxcopy=79309 txcopy=343268 sendto=13168 
recv=4489 rxcopy=79030 txcopy=341699 sendto=13017 
recv=4468 rxcopy=79066 txcopy=342087 sendto=12983 
recv=4487 rxcopy=78680 txcopy=340279 sendto=12959 
