Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 20.0Mb/s,165808092185,102056478857,14103567451,87952911406,9025806,5253067,61.55,8.51,53.05
System Total 50.0Mb/s,81734792852,81202898122,3506884114,77696014008,1955162,1228479,99.35,4.29,95.06
System Total 100.0Mb/s,416160472888,415681213631,35778980192,379902233439,22811072,13143207,99.88,8.6,91.29

TEST 1: 20.0Mb/s
CORE 0 TOTAL,165808092185,102056478857,14103567451,87952911406,9025806,5253067,61.55,8.51,53.05
serial_driver,165808092185,17914,3020,14894,1,1,0.0,0.0,0.0
serial_virt_tx,165808092185,12039,5029,7010,2,2,0.0,0.0,0.0
serial_virt_rx,165808092185,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,165808092185,12492831940,9104838794,3387993146,6021518,2492914,7.53,5.49,2.04
net_virt_tx,165808092185,1483169812,516850781,966319031,235093,235093,0.89,0.31,0.58
net_virt_rx,165808092185,1511398602,481805432,1029593170,357413,238259,0.91,0.29,0.62
client0,165808092185,2038653691,243950494,1794703197,124280,123661,1.23,0.15,1.08
client0_net_copier,165808092185,894559954,200954226,693605728,235421,117817,0.54,0.12,0.42
client1,165808092185,30257181,7935093,22322088,7245,7238,0.02,0.0,0.01
client1_net_copier,165808092185,8023052,2788019,5235033,2535,1371,0.0,0.0,0.0
timer_driver,165808092185,1156151392,303599521,852551871,358774,353190,0.7,0.18,0.51
linux,165808092185,82441403280,3240837042,79200566238,1531195,1531191,49.72,1.95,47.77

TEST 2: 50.0Mb/s
CORE 0 TOTAL,81734792852,81202898122,3506884114,77696014008,1955162,1228479,99.35,4.29,95.06
serial_driver,81734792852,17745,3235,14510,1,1,0.0,0.0,0.0
serial_virt_tx,81734792852,12279,4900,7379,2,2,0.0,0.0,0.0
serial_virt_rx,81734792852,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,81734792852,3028914598,2201379801,827534797,1282047,581204,3.71,2.69,1.01
net_virt_tx,81734792852,551646016,35092303,516553713,10255,10255,0.67,0.04,0.63
net_virt_rx,81734792852,762907150,93251343,669655807,58101,38085,0.93,0.11,0.82
client0,81734792852,1337518690,29323570,1308195120,13724,13102,1.64,0.04,1.6
client0_net_copier,81734792852,585316138,35846955,549469183,22489,18678,0.72,0.04,0.67
client1,81734792852,2099857,494733,1605124,508,493,0.0,0.0,0.0
client1_net_copier,81734792852,1224671,329184,895487,162,139,0.0,0.0,0.0
timer_driver,81734792852,171488781,49334906,122153875,43338,41984,0.21,0.06,0.15
linux,81734792852,74761752197,1061823184,73699929013,523522,523522,91.47,1.3,90.17

TEST 3: 100.0Mb/s
CORE 0 TOTAL,416160472888,415681213631,35778980192,379902233439,22811072,13143207,99.88,8.6,91.29
serial_driver,416160472888,17299,3112,14187,1,1,0.0,0.0,0.0
serial_virt_tx,416160472888,12129,5176,6953,2,2,0.0,0.0,0.0
serial_virt_rx,416160472888,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,416160472888,31537129686,23071196050,8465933636,15396400,6350937,7.58,5.54,2.03
net_virt_tx,416160472888,486887566,32171041,454716525,13358,13358,0.12,0.01,0.11
net_virt_rx,416160472888,9450930323,2090167468,7360762855,1609385,1009918,2.27,0.5,1.77
client0,416160472888,1767934519,165494638,1602439881,77691,77596,0.42,0.04,0.39
client0_net_copier,416160472888,1949946717,657871543,1292075174,470187,465704,0.47,0.16,0.31
client1,416160472888,30149365,8879944,21269421,6053,5930,0.01,0.0,0.01
client1_net_copier,416160472888,20529670,6681143,13848527,4751,4201,0.0,0.0,0.0
timer_driver,416160472888,2290645278,609534559,1681110719,709800,692139,0.55,0.15,0.4
linux,416160472888,368147031079,9136975518,359010055561,4523030,4523006,88.46,2.2,86.27

CPU cycles,L1 i-cache misses,Branch mispredictions
149622543403,677642348,394300912,
77788974734,239918926,101838430,
375827530158,1823343447,1011382862,
