Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 20.0Mb/s,165594280154,55072804882,14394945232,40677859650,9307632,5411007,33.26,8.69,24.56
System Total 50.0Mb/s,81020832337,65506842188,17143518598,48363323590,10909352,6267187,80.85,21.16,59.69
System Total 100.0Mb/s,52637166546,52263084902,11853282709,40409802193,7323645,4200384,99.29,22.52,76.77
System Total 150.0Mb/s,43349518501,42842284085,7480104541,35362179544,4555848,2598422,98.83,17.26,81.57
System Total 200.0Mb/s,39916656004,39427411691,5631991512,33795420179,3360629,1965489,98.77,14.11,84.66

TEST 1: 20.0Mb/s
CORE 0 TOTAL,165594280154,55072804882,14394945232,40677859650,9307632,5411007,33.26,8.69,24.56
serial_driver,165594280154,18365,3010,15355,1,1,0.0,0.0,0.0
serial_virt_tx,165594280154,12129,4842,7287,2,2,0.0,0.0,0.0
serial_virt_rx,165594280154,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,165594280154,12842688007,9381104073,3461583934,6225538,2579192,7.76,5.67,2.09
net_virt_tx,165594280154,1501830104,526286264,975543840,238955,238955,0.91,0.32,0.59
net_virt_rx,165594280154,1541206522,502409539,1038796983,364971,242957,0.93,0.3,0.63
client0,165594280154,2059810017,250636505,1809173512,128210,128101,1.24,0.15,1.09
client0_net_copier,165594280154,921756419,206909018,714847401,239131,119609,0.56,0.12,0.43
client1,165594280154,39016444,10633968,28382476,8705,8693,0.02,0.01,0.02
client1_net_copier,165594280154,14330519,5159789,9170730,4907,2454,0.01,0.0,0.01
timer_driver,165594280154,1214294946,321639912,892655034,383753,377596,0.73,0.19,0.54
linux,165594280154,34937841410,3190158312,31747683098,1502675,1502662,21.1,1.93,19.17

TEST 2: 50.0Mb/s
CORE 0 TOTAL,81020832337,65506842188,17143518598,48363323590,10909352,6267187,80.85,21.16,59.69
serial_driver,81020832337,18178,3047,15131,1,1,0.0,0.0,0.0
serial_virt_tx,81020832337,12382,5035,7347,2,2,0.0,0.0,0.0
serial_virt_rx,81020832337,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,81020832337,15272541745,11165295236,4107246509,7388341,3038988,18.85,13.78,5.07
net_virt_tx,81020832337,1817667310,647886389,1169780921,293987,293987,2.24,0.8,1.44
net_virt_rx,81020832337,1811210895,578586578,1232624317,430493,287365,2.24,0.71,1.52
client0,81020832337,2479742052,304717532,2175024520,152288,151942,3.06,0.38,2.68
client0_net_copier,81020832337,1121827699,244762937,877064762,285324,142735,1.38,0.3,1.08
client1,81020832337,15081016,4257863,10823153,3552,3549,0.02,0.01,0.01
client1_net_copier,81020832337,3053009,1088964,1964045,889,472,0.0,0.0,0.0
timer_driver,81020832337,1387084402,362913298,1024171104,435032,428712,1.71,0.45,1.26
linux,81020832337,41598603500,3834001719,37764601781,1803492,1803482,51.34,4.73,46.61

TEST 3: 100.0Mb/s
CORE 0 TOTAL,52637166546,52263084902,11853282709,40409802193,7323645,4200384,99.29,22.52,76.77
serial_driver,52637166546,18788,3828,14960,1,1,0.0,0.0,0.0
serial_virt_tx,52637166546,12923,5626,7297,2,2,0.0,0.0,0.0
serial_virt_rx,52637166546,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,52637166546,10416479116,7609635876,2806843240,4931617,2018302,19.79,14.46,5.33
net_virt_tx,52637166546,1371539346,329988761,1041550585,143005,143005,2.61,0.63,1.98
net_virt_rx,52637166546,1870779547,536913406,1333866141,401763,264603,3.55,1.02,2.53
client0,52637166546,2377297335,183258383,2194038952,86203,85772,4.52,0.35,4.17
client0_net_copier,52637166546,1180844637,206503581,974341056,199112,130992,2.24,0.39,1.85
client1,52637166546,3735757,867745,2868012,842,824,0.01,0.0,0.01
client1_net_copier,52637166546,5174476,1648691,3525785,812,771,0.01,0.0,0.01
timer_driver,52637166546,829417236,208463283,620953953,242852,238684,1.58,0.4,1.18
linux,52637166546,34207785741,2775993529,31431792212,1317103,1317094,64.99,5.27,59.71

TEST 4: 150.0Mb/s
CORE 0 TOTAL,43349518501,42842284085,7480104541,35362179544,4555848,2598422,98.83,17.26,81.57
serial_driver,43349518501,18384,3817,14567,1,1,0.0,0.0,0.0
serial_virt_tx,43349518501,11436,5050,6386,2,2,0.0,0.0,0.0
serial_virt_rx,43349518501,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,43349518501,6613835399,4832103023,1781732376,3096790,1269959,15.26,11.15,4.11
net_virt_tx,43349518501,1208792851,194204159,1014588692,79239,79239,2.79,0.45,2.34
net_virt_rx,43349518501,1630621074,329743270,1300877804,245679,146959,3.76,0.76,3.0
client0,43349518501,2480475209,118833742,2361641467,53568,53223,5.72,0.27,5.45
client0_net_copier,43349518501,1078090873,108957717,969133156,99143,70661,2.49,0.25,2.24
client1,43349518501,4486748,1001075,3485673,850,835,0.01,0.0,0.01
client1_net_copier,43349518501,8324906,2502874,5822032,1254,1198,0.02,0.01,0.01
timer_driver,43349518501,556593489,141433704,415159785,161179,158205,1.28,0.33,0.96
linux,43349518501,29261033716,1751316110,27509717606,817704,817700,67.5,4.04,63.46

TEST 5: 200.0Mb/s
CORE 0 TOTAL,39916656004,39427411691,5631991512,33795420179,3360629,1965489,98.77,14.11,84.66
serial_driver,39916656004,18682,3141,15541,1,1,0.0,0.0,0.0
serial_virt_tx,39916656004,12245,4803,7442,2,2,0.0,0.0,0.0
serial_virt_rx,39916656004,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,39916656004,5022983760,3652320795,1370662965,2292444,968790,12.58,9.15,3.43
net_virt_tx,39916656004,905035056,38996746,866038310,11862,11862,2.27,0.1,2.17
net_virt_rx,39916656004,1637441992,292543194,1344898798,192771,129208,4.1,0.73,3.37
client0,39916656004,2514654031,81134529,2433519502,35300,35000,6.3,0.2,6.1
client0_net_copier,39916656004,1169499139,100832324,1068666815,66003,63315,2.93,0.25,2.68
client1,39916656004,3865038,1225339,2639699,1065,1060,0.01,0.0,0.01
client1_net_copier,39916656004,53130,16652,36478,11,6,0.0,0.0,0.0
timer_driver,39916656004,441921615,120827281,321094334,126390,121468,1.11,0.3,0.8
linux,39916656004,27731927003,1344086708,26387840295,634323,634319,69.47,3.37,66.11

CPU cycles,L1 i-cache misses,Branch mispredictions
148987939700,689219049,401973508,
61451500435,819461694,476142221,
39260046847,603096812,367586317,
34895263993,444047402,258272433,
33549299043,366837335,188583453,
