Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 20.0Mb/s,141813005323,138465865841,12239958897,126225906944,7623802,4448931,97.64,8.63,89.01

TEST 1: 20.0Mb/s
CORE 0 TOTAL,141813005323,138465865841,12239958897,126225906944,7623802,4448931,97.64,8.63,89.01
serial_driver,141813005323,18059,3722,14337,1,1,0.0,0.0,0.0
serial_virt_tx,141813005323,11869,5273,6596,2,2,0.0,0.0,0.0
serial_virt_rx,141813005323,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,141813005323,10638129262,7762922903,2875206359,5045056,2087154,7.5,5.47,2.03
net_virt_tx,141813005323,1262828801,447371297,815457504,201556,201556,0.89,0.32,0.58
net_virt_rx,141813005323,1237363323,416461042,820902281,322895,213421,0.87,0.29,0.58
client0,141813005323,1740820729,213464248,1527356481,105662,104505,1.23,0.15,1.08
client0_net_copier,141813005323,787031417,168084578,618946839,204850,104864,0.55,0.12,0.44
client1,141813005323,26191782,6112036,20079746,5472,5428,0.02,0.0,0.01
client1_net_copier,141813005323,12303007,3876463,8426544,2855,2251,0.01,0.0,0.01
timer_driver,141813005323,860901257,229423930,631477327,266024,260324,0.61,0.16,0.45
linux,141813005323,121900266335,2992233405,118908032930,1430984,1430979,85.96,2.11,83.85

Instructions,Data memory access,L1 d-cache misses
64437642655,25305023331,185583333,
