Requested_Throughput,Send_Throughput,Receive_Throughput,Total_Cycles,Packets_Sent,Packets_Received,Bytes_Sent,Bytes_Received,Cycles_Per_Packet,Active_Cycles_Per_Packet
10000000,9999960,10000160,163125010225,200000,200000,144400000,144400000,815625.1,570675.2
11000000,10999899,11000119,150518889409,200000,200000,144400000,144400000,752594.4,542576.3
12000000,12000074,12000074,140019733984,200000,200000,144400000,144400000,700098.7,589159.1
13000000,13000026,13000091,131002053268,200000,200000,144400000,144400000,655010.3,633955.6
14000000,13999961,14000241,123288897729,200000,200000,144400000,144400000,616444.5,597021.5
15000000,14999909,14982080,117036416843,200000,199762,144400000,144228164,585879.3,581640.1
16000000,15999837,16000077,111145287587,200000,200000,144400000,144400000,555726.4,553183.6
17000000,16999834,17000089,105989638489,200000,200000,144400000,144400000,529948.2,527701.5
18000000,18000196,18000286,101517800467,200000,200000,144400000,144400000,507589.0,505058.6
19000000,19000077,19000457,97355642910,200000,200000,144400000,144400000,486778.2,484783.6
20000000,19999855,19998155,93819350888,200000,199983,144400000,144387726,469136.6,466633.2
21000000,20999970,20993357,90537151505,200000,199937,144400000,144354514,452828.4,450336.8
22000000,21999756,21985025,87563921844,200000,199866,144400000,144303252,438113.1,435596.6
23000000,23000246,22489046,86721497725,200000,195555,144400000,141190710,443463.5,440499.3
24000000,24000139,22721182,86278860106,200000,189342,144400000,136704924,455677.3,451724.2
25000000,24999999,22431983,87208546742,200000,179456,144400000,129567232,485960.6,483229.0
26000000,25999895,23358505,84854033203,200000,179682,144400000,129730404,472245.6,469654.8
27000000,27000054,21956143,88202219599,200000,162638,144400000,117424636,542322.3,539830.6
28000000,27999927,21979438,88346028922,200000,156996,144400000,113351112,562727.9,559574.6
29000000,29000127,22509792,87074153882,200000,155239,144400000,112082558,560903.9,557899.1
30000000,30000081,22991226,85524081000,200000,153274,144400000,110663828,557981.7,555795.2
