Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles,CPU_Util
10000000,10000160,9999960,722,582,1018,17710,472.78,1022,0,48989968255,163125010225,0.6997
11000000,11000119,10999899,722,590,1127,18043,523.63,1145,0,42003634458,150518889409,0.7209
12000000,12000074,12000074,722,608,1122,18719,581.61,1150,0,22187916606,140019733984,0.8415
13000000,13000091,13000026,722,784,1080,19395,633.76,987,0,4210925146,131002053268,0.9679
14000000,14000241,13999961,722,636,1103,19558,675.04,1072,0,3884599874,123288897729,0.9685
15000000,14982080,14999909,722,842,1545,202181,7759.02,1051,0,846822912,117036416843,0.9928
16000000,16000077,15999837,722,796,1364,20069,718.08,1281,0,508576147,111145287587,0.9954
17000000,17000089,16999834,722,878,1453,20375,820.96,1375,0,449329038,105989638489,0.9958
18000000,18000286,18000196,722,924,1376,20246,837.28,1318,0,506078196,101517800467,0.9950
19000000,19000457,19000077,722,1565,2065,21937,1021.05,1934,0,398921905,97355642910,0.9959
20000000,19998155,19999855,722,1835,2574,23670,1243.70,2392,0,500635536,93819350888,0.9947
21000000,20993357,20999970,722,3390,4322,24884,1265.57,4205,0,498167923,90537151505,0.9945
22000000,21985025,21999756,722,4071,7140,29004,1715.44,7163,0,502970935,87563921844,0.9943
23000000,22489046,23000246,722,10842,15444,38266,1675.47,15473,0,579656767,86721497725,0.9933
24000000,22721182,24000139,722,10988,15511,39543,1933.79,15608,0,748501622,86278860106,0.9913
25000000,22431983,24999999,722,11815,16067,38754,1794.25,16393,0,490206972,87208546742,0.9944
26000000,23358505,25999895,722,12276,15571,38835,1763.28,15872,0,465520747,84854033203,0.9945
27000000,21956143,27000054,722,2126,17302,84855,3150.53,18125,0,405258462,88202219599,0.9954
28000000,21979438,27999927,722,13345,18363,44842,2540.79,19447,0,495055504,88346028922,0.9944
29000000,22509792,29000127,722,12591,17691,45919,2584.70,18167,0,466450429,87074153882,0.9946
30000000,22991226,30000081,722,5470,16988,80961,2796.66,18128,0,335130560,85524081000,0.9961
