Requested_Throughput,Send_Throughput,Receive_Throughput,Total_Cycles,Packets_Sent,Packets_Received,Bytes_Sent,Bytes_Received,Cycles_Per_Packet,Active_Cycles_Per_Packet
10000000,10000140,9999190,307143081694,200000,199981,294400000,294372032,1535861.3,865980.8
11000000,10999989,10997789,281431548092,200000,199960,294400000,294341120,1407439.2,846114.5
12000000,12000038,11998118,260053062835,200000,199968,294400000,294352896,1300473.4,770931.5
13000000,13000100,13000100,241897830766,200000,200000,294400000,294400000,1209489.2,782418.1
14000000,13999919,14000199,226165075169,200000,200000,294400000,294400000,1130825.4,789856.2
15000000,14999970,15000121,212693913705,200000,200000,294400000,294400000,1063469.6,847852.5
16000000,16000071,16000071,201140932230,200000,200000,294400000,294400000,1005704.7,798408.5
17000000,16999832,17000172,190594158637,200000,200000,294400000,294400000,952970.8,880805.9
18000000,17999881,18000241,181468173864,200000,200000,294400000,294400000,907340.9,853274.3
19000000,19000010,19000200,173249916213,200000,200000,294400000,294400000,866249.6,858888.8
20000000,20000092,20000092,165605321650,200000,200000,294400000,294400000,828026.6,826004.4
21000000,20999737,21000157,159085124771,200000,200000,294400000,294400000,795425.6,792872.2
22000000,21999842,22000282,152966177860,200000,200000,294400000,294400000,764830.9,762287.8
23000000,23000259,23000719,147334804123,200000,200000,294400000,294400000,736674.0,734406.9
24000000,23999885,24000365,142261961718,200000,200000,294400000,294400000,711309.8,708787.7
25000000,24999991,24993868,137580742586,200000,199951,294400000,294327872,688072.3,685614.7
26000000,26000220,25688665,135166566283,200000,197603,294400000,290871616,684030.9,680447.5
27000000,27000323,25691596,135848310398,200000,190306,294400000,280130432,713841.4,707112.4
28000000,27999900,25836525,136734879095,200000,184547,294400000,271653184,740921.7,729850.9
29000000,29000137,25425166,136951060875,200000,175345,294400000,258107840,781037.7,774867.8
30000000,30000352,25594906,136220913957,200000,170631,294400000,251168832,798336.3,795371.2
