Requested_Throughput,Receive_Throughput,Send_Throughput,Packet_Size,Minimum_RTT,Average_RTT,Maximum_RTT,Stdev_RTT,Median_RTT,Bad_Packets,Idle_Cycles,Total_Cycles,CPU_Util
10000000,9999190,10000140,1472,777,1506,276446,6507.97,1165,0,133963367850,307143081694,0.5638
11000000,10997789,10999989,1472,810,1442,162511,3195.75,1291,0,112242490252,281431548092,0.6012
12000000,11998118,12000038,1472,811,1685,101367,1960.84,1642,0,105891438182,260053062835,0.5928
13000000,13000100,13000100,1472,807,1624,19494,550.40,1699,0,85414210449,241897830766,0.6469
14000000,14000199,13999919,1472,817,1452,17682,586.75,1510,0,68193834959,226165075169,0.6985
15000000,15000121,14999970,1472,827,1504,18714,601.38,1480,0,43123418868,212693913705,0.7973
16000000,16000071,16000071,1472,807,1511,18956,641.30,1491,0,41459229495,201140932230,0.7939
17000000,17000172,16999832,1472,817,1454,19448,688.47,1445,0,14432985926,190594158637,0.9243
18000000,18000241,17999881,1472,835,1509,20916,767.92,1507,0,10813309575,181468173864,0.9404
19000000,19000200,19000010,1472,1019,1560,20001,808.75,1494,0,1472148290,173249916213,0.9915
20000000,20000092,20000092,1472,1048,1716,20101,815.10,1696,0,404451648,165605321650,0.9976
21000000,21000157,20999737,1472,1290,1867,20514,889.52,1839,0,510678066,159085124771,0.9968
22000000,22000282,21999842,1472,1350,2310,21834,1109.51,2122,0,508621018,152966177860,0.9967
23000000,23000719,23000259,1472,2095,3091,23311,1396.02,2753,0,453424661,147334804123,0.9969
24000000,24000365,23999885,1472,2637,4766,24964,1744.25,4575,0,504427043,142261961718,0.9965
25000000,24993868,24999991,1472,7198,12354,37244,3491.34,11332,0,491391001,137580742586,0.9964
26000000,25688665,26000220,1472,15705,25758,49423,2603.62,25851,0,708091512,135166566283,0.9948
27000000,25691596,27000323,1472,16225,26749,50230,2620.20,27078,0,1280568626,135848310398,0.9906
28000000,25836525,27999900,1472,16322,27057,50153,2494.70,27507,0,2043081579,136734879095,0.9851
29000000,25425166,29000137,1472,17637,28543,51442,2670.69,29388,0,1081869672,136951060875,0.9921
30000000,25594906,30000352,1472,17599,28782,53060,2991.91,29643,0,505929210,136220913957,0.9963
