Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306880264385,12473510372,6696175331,5777335041,5642194,3617283,4.06,2.18,1.88
System Total 20Mb/s,165602912529,14331360483,7703740482,6627620001,6371154,4008460,8.65,4.65,4.0
System Total 20Mb/s,134627522473,5136979713,1940568430,3196411283,1628014,1100507,3.82,1.44,2.37
System Total 40Mb/s,135845060859,5557130027,2258134340,3298995687,1907419,1296468,4.09,1.66,2.43
System Total 50Mb/s,139233533981,6469125711,2918621562,3550504149,2502410,1693807,4.65,2.1,2.55
System Total 60Mb/s,137994947661,6070148538,2630886439,3439262099,2234664,1518505,4.4,1.91,2.49
System Total 70Mb/s,135312814398,5509663524,2227584449,3282079075,1889234,1288876,4.07,1.65,2.43
System Total 80Mb/s,145173427257,7558956480,3644569954,3914386526,3143918,2109262,5.21,2.51,2.7
System Total 90Mb/s,142259885939,6721188892,3103938789,3617250103,2704717,1836712,4.72,2.18,2.54
System Total 100Mb/s,140167019357,6376549906,2899111546,3477438360,2496442,1700140,4.55,2.07,2.48
System Total 200Mb/s,172161822310,8796693204,3730542896,5066150308,3214230,2190353,5.11,2.17,2.94
System Total 300Mb/s,257177019556,9730764488,4307643650,5423120838,3766603,2584366,3.78,1.67,2.11
System Total 400Mb/s,256467703264,9407550043,4207937745,5199612298,3670726,2518325,3.67,1.64,2.03
System Total 500Mb/s,193682706665,10088929791,4491089739,5597840052,3856915,2625778,5.21,2.32,2.89
System Total 600Mb/s,187964208968,9847977338,4405938202,5442039136,3768217,2561246,5.24,2.34,2.9
System Total 700Mb/s,205491754558,10796086483,4975439466,5820647017,4257163,2892878,5.25,2.42,2.83
System Total 800Mb/s,196942573854,10322660582,4755453352,5567207230,4073537,2769095,5.24,2.41,2.83
System Total 900Mb/s,202539055643,10726151148,5042984509,5683166639,4335918,2947874,5.3,2.49,2.81
System Total 1000Mb/s,257269861835,10526868621,4944311642,5582556979,4292704,2936081,4.09,1.92,2.17

TEST 1: 10Mb/s
CORE 0 TOTAL,306880264385,12473510372,6696175331,5777335041,5642194,3617283,4.06,2.18,1.88
serial_driver,306880264385,19182,3212,15970,1,1,0.0,0.0,0.0
serial_virt_tx,306880264385,11466,5193,6273,2,2,0.0,0.0,0.0
serial_virt_rx,306880264385,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,306880264385,7490512194,5513054823,1977457371,3328641,1514288,2.44,1.8,0.64
net_virt_tx,306880264385,1202551045,394512284,808038761,199929,199490,0.39,0.13,0.26
net_virt_rx,306880264385,1206430947,393577777,812853170,306643,204401,0.39,0.13,0.26
client0,306880264385,1685745116,149997416,1535747700,114563,114301,0.55,0.05,0.5
client0_net_copier,306880264385,748140982,187015815,561125167,203509,101650,0.24,0.06,0.18
client1,306880264385,41552595,14650222,26902373,12226,12223,0.01,0.0,0.01
client1_net_copier,306880264385,407105,144339,262766,82,41,0.0,0.0,0.0
timer_driver,306880264385,98139740,43214250,54925490,31201,25495,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,165602912529,14331360483,7703740482,6627620001,6371154,4008460,8.65,4.65,4.0
serial_driver,165602912529,18398,2866,15532,1,1,0.0,0.0,0.0
serial_virt_tx,165602912529,12279,5223,7056,2,2,0.0,0.0,0.0
serial_virt_rx,165602912529,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,165602912529,8646779529,6298985127,2347794402,3847889,1746336,5.22,3.8,1.42
net_virt_tx,165602912529,1398279701,477036002,921243699,246178,244974,0.84,0.29,0.56
net_virt_rx,165602912529,1424067758,486254434,937813324,385298,257134,0.86,0.29,0.57
client0,165602912529,1883766704,163097605,1720669099,135469,134860,1.14,0.1,1.04
client0_net_copier,165602912529,900580494,246308901,654271593,256062,127985,0.54,0.15,0.4
client1,165602912529,22906038,7937848,14968190,6621,6612,0.01,0.0,0.01
client1_net_copier,165602912529,219059,81108,137951,43,21,0.0,0.0,0.0
timer_driver,165602912529,54730523,24031368,30699155,16834,13784,0.03,0.01,0.02

TEST 3: 20Mb/s
CORE 0 TOTAL,134627522473,5136979713,1940568430,3196411283,1628014,1100507,3.82,1.44,2.37
serial_driver,134627522473,18638,3285,15353,1,1,0.0,0.0,0.0
serial_virt_tx,134627522473,11727,4623,7104,2,2,0.0,0.0,0.0
serial_virt_rx,134627522473,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,134627522473,2385480920,1765263834,620217086,974309,472484,1.77,1.31,0.46
net_virt_tx,134627522473,531740174,50474402,481265772,20510,19713,0.39,0.04,0.36
net_virt_rx,134627522473,564197330,48700052,515497278,32109,21090,0.42,0.04,0.38
client0,134627522473,1144850473,20884775,1123965698,16411,15870,0.85,0.02,0.83
client0_net_copier,134627522473,445243410,27914394,417329016,21233,10318,0.33,0.02,0.31
client1,134627522473,19249051,6872047,12377004,5296,5295,0.01,0.01,0.01
client1_net_copier,134627522473,150923,55815,95108,28,14,0.0,0.0,0.0
timer_driver,134627522473,46037067,20395203,25641864,13684,11295,0.03,0.02,0.02

TEST 4: 40Mb/s
CORE 0 TOTAL,135845060859,5557130027,2258134340,3298995687,1907419,1296468,4.09,1.66,2.43
serial_driver,135845060859,17976,2871,15105,1,1,0.0,0.0,0.0
serial_virt_tx,135845060859,11641,4585,7056,2,2,0.0,0.0,0.0
serial_virt_rx,135845060859,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,135845060859,2859965750,2117357293,742608457,1165231,575540,2.11,1.56,0.55
net_virt_tx,135845060859,500356072,35770198,464585874,12812,12191,0.37,0.03,0.34
net_virt_rx,135845060859,540193052,37584668,502608384,23944,15257,0.4,0.03,0.37
client0,135845060859,1121796958,17907472,1103889486,13943,13057,0.83,0.01,0.81
client0_net_copier,135845060859,469443379,22363434,447079945,16031,7421,0.35,0.02,0.33
client1,135845060859,19418779,6881811,12536968,5380,5380,0.01,0.01,0.01
client1_net_copier,135845060859,96118,36333,59785,18,9,0.0,0.0,0.0
timer_driver,135845060859,45830302,20225675,25604627,13810,11369,0.03,0.01,0.02

TEST 5: 50Mb/s
CORE 0 TOTAL,139233533981,6469125711,2918621562,3550504149,2502410,1693807,4.65,2.1,2.55
serial_driver,139233533981,19250,3870,15380,1,1,0.0,0.0,0.0
serial_virt_tx,139233533981,12132,5481,6651,2,2,0.0,0.0,0.0
serial_virt_rx,139233533981,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,139233533981,3733838842,2778832419,955006423,1561024,773956,2.68,2.0,0.69
net_virt_tx,139233533981,501291092,35427577,465863515,12718,12034,0.36,0.03,0.33
net_virt_rx,139233533981,541357922,37007882,504350040,24390,15325,0.39,0.03,0.36
client0,139233533981,1131822964,17965943,1113857021,14095,13233,0.81,0.01,0.8
client0_net_copier,139233533981,494013613,21695373,472318240,15889,7454,0.35,0.02,0.34
client1,139233533981,19971549,7101224,12870325,5513,5512,0.01,0.01,0.01
client1_net_copier,139233533981,106360,41941,64419,20,10,0.0,0.0,0.0
timer_driver,139233533981,46691987,20539852,26152135,14196,11724,0.03,0.01,0.02

TEST 6: 60Mb/s
CORE 0 TOTAL,137994947661,6070148538,2630886439,3439262099,2234664,1518505,4.4,1.91,2.49
serial_driver,137994947661,18749,3566,15183,1,1,0.0,0.0,0.0
serial_virt_tx,137994947661,11912,4913,6999,2,2,0.0,0.0,0.0
serial_virt_rx,137994947661,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,137994947661,3379524026,2514675101,864848925,1389132,690369,2.45,1.82,0.63
net_virt_tx,137994947661,483939575,27524838,456414737,8662,7803,0.35,0.02,0.33
net_virt_rx,137994947661,524713747,28692697,496021050,17734,10728,0.38,0.02,0.36
client0,137994947661,1115768059,15331166,1100436893,11632,10877,0.81,0.01,0.8
client0_net_copier,137994947661,500024246,17299958,482724288,11490,5167,0.36,0.01,0.35
client1,137994947661,19690797,6887877,12802920,5423,5422,0.01,0.0,0.01
client1_net_copier,137994947661,126363,47329,79034,25,12,0.0,0.0,0.0
timer_driver,137994947661,46331064,20418994,25912070,14074,11641,0.03,0.01,0.02

TEST 7: 70Mb/s
CORE 0 TOTAL,135312814398,5509663524,2227584449,3282079075,1889234,1288876,4.07,1.65,2.43
serial_driver,135312814398,18682,2906,15776,1,1,0.0,0.0,0.0
serial_virt_tx,135312814398,11520,4582,6938,2,2,0.0,0.0,0.0
serial_virt_rx,135312814398,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,135312814398,2853254848,2123220388,730034460,1165320,579115,2.11,1.57,0.54
net_virt_tx,135312814398,471994421,24133309,447861112,7033,6384,0.35,0.02,0.33
net_virt_rx,135312814398,511174724,24702307,486472417,14129,8595,0.38,0.02,0.36
client0,135312814398,1102797191,13810649,1088986542,10157,9682,0.81,0.01,0.8
client0_net_copier,135312814398,505830489,14773069,491057420,9168,4098,0.37,0.01,0.36
client1,135312814398,19375940,6840955,12534985,5321,5321,0.01,0.01,0.01
client1_net_copier,135312814398,151594,60731,90863,29,14,0.0,0.0,0.0
timer_driver,135312814398,45054115,20035553,25018562,13778,11374,0.03,0.01,0.02

TEST 8: 80Mb/s
CORE 0 TOTAL,145173427257,7558956480,3644569954,3914386526,3143918,2109262,5.21,2.51,2.7
serial_driver,145173427257,18306,2771,15535,1,1,0.0,0.0,0.0
serial_virt_tx,145173427257,11916,4793,7123,2,2,0.0,0.0,0.0
serial_virt_rx,145173427257,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,145173427257,4633064757,3459354446,1173710311,1977992,973583,3.19,2.38,0.81
net_virt_tx,145173427257,540542175,52571565,487970610,22884,21767,0.37,0.04,0.34
net_virt_rx,145173427257,580341558,52541515,527800043,37541,23966,0.4,0.04,0.36
client0,145173427257,1175192599,22348201,1152844398,18269,17775,0.81,0.02,0.79
client0_net_copier,145173427257,561415996,29379348,532036648,24247,11769,0.39,0.02,0.37
client1,145173427257,20867314,7304333,13562981,5715,5715,0.01,0.01,0.01
client1_net_copier,145173427257,137959,53230,84729,29,14,0.0,0.0,0.0
timer_driver,145173427257,47363900,21009752,26354148,14784,12222,0.03,0.01,0.02

TEST 9: 90Mb/s
CORE 0 TOTAL,142259885939,6721188892,3103938789,3617250103,2704717,1836712,4.72,2.18,2.54
serial_driver,142259885939,18976,2933,16043,1,1,0.0,0.0,0.0
serial_virt_tx,142259885939,11665,4733,6932,2,2,0.0,0.0,0.0
serial_virt_rx,142259885939,0,0,0,0,0,0.0,0.0,0.0
net_driver_vm,142259885939,4013958304,3005941022,1008017282,1704908,849720,2.82,2.11,0.71
net_virt_tx,142259885939,471376955,21450540,449926415,6217,5639,0.33,0.02,0.32
net_virt_rx,142259885939,515882129,22519594,493362535,12740,7568,0.36,0.02,0.35
